jurisdiction,year,ipcc_code,price
Austria,2002,2C4,null
Austria,2002,2C5,null
Austria,2002,2C6,null
Austria,2002,2H1,null
Austria,2003,1A1A1,null
Austria,2003,1A1A2,null
Austria,2003,1A1A3,null
Austria,2003,1A1B,null
Austria,2003,1A1C,null
Austria,2003,1A2A,null
Austria,2003,1A2B,null
Austria,2003,1A2C,null
Austria,2003,1A2D,null
Austria,2003,1A2E,null
Austria,2003,1A2F,null
Austria,2003,1A2G,null
Austria,2003,1A2H,null
Austria,2003,1A2I,null
Austria,2003,1A2J,null
Austria,2003,1A2K,null
Austria,2003,1A2L,null
Austria,2003,1A2M,null
Austria,2003,1A3A2,null
Austria,2003,1C1A,null
Austria,2003,1C2B,null
Austria,2003,2A1,null
Austria,2003,2A2,null
Austria,2003,2A3,null
Austria,2003,2A4A,null
Austria,2003,2B1,null
Austria,2003,2B2,null
Austria,2003,2B3,null
Austria,2003,2B4,null
Austria,2003,2B5,null
Austria,2003,2B6,null
Austria,2003,2B7,null
Austria,2003,2B8F,null
Austria,2003,2C1,null
Austria,2003,2C2,null
Austria,2003,2C3,null
Austria,2003,2C4,null
Austria,2003,2C5,null
Austria,2003,2C6,null
Austria,2003,2H1,null
Austria,2004,1A1A1,null
Austria,2004,1A1A2,null
Austria,2004,1A1A3,null
Austria,2004,1A1B,null
Austria,2004,1A1C,null
Austria,2004,1A2A,null
Austria,2004,1A2B,null
Austria,2004,1A2C,null
Austria,2004,1A2D,null
Austria,2004,1A2E,null
Austria,2004,1A2F,null
Austria,2004,1A2G,null
Austria,2004,1A2H,null
Austria,2004,1A2I,null
Austria,2004,1A2J,null
Austria,2004,1A2K,null
Austria,2004,1A2L,null
Austria,2004,1A2M,null
Austria,2004,1A3A2,null
Austria,2004,1C1A,null
Austria,2004,1C2B,null
Austria,2004,2A1,null
Austria,2004,2A2,null
Austria,2004,2A3,null
Austria,2004,2A4A,null
Austria,2004,2B1,null
Austria,2004,2B2,null
Austria,2004,2B3,null
Austria,2004,2B4,null
Austria,2004,2B5,null
Austria,2004,2B6,null
Austria,2004,2B7,null
Austria,2004,2B8F,null
Austria,2004,2C1,null
Austria,2004,2C2,null
Austria,2004,2C3,null
Austria,2004,2C4,null
Austria,2004,2C5,null
Austria,2004,2C6,null
Austria,2004,2H1,null
Austria,2005,1A1A1,31.2272913418695
Austria,2005,1A1A2,31.2272913418695
Austria,2005,1A1A3,31.2272913418695
Austria,2005,1A1B,31.2272913418695
Austria,2005,1A1C,31.2272913418695
Austria,2005,1A2A,31.2272913418695
Austria,2005,1A2B,31.2272913418695
Austria,2005,1A2C,31.2272913418695
Austria,2005,1A2D,31.2272913418695
Austria,2005,1A2E,31.2272913418695
Austria,2005,1A2F,31.2272913418695
Austria,2005,1A2G,31.2272913418695
Austria,2005,1A2H,31.2272913418695
Austria,2005,1A2I,31.2272913418695
Austria,2005,1A2J,31.2272913418695
Austria,2005,1A2K,31.2272913418695
Austria,2005,1A2L,31.2272913418695
Austria,2005,1A2M,31.2272913418695
Austria,2005,1A3A2,null
Austria,2005,1C1A,null
Austria,2005,1C2B,null
Austria,2005,2A1,31.2272913418695
Austria,2005,2A2,31.2272913418695
Austria,2005,2A3,31.2272913418695
Austria,2005,2A4A,31.2272913418695
Austria,2005,2B1,null
Austria,2005,2B2,null
Austria,2005,2B3,null
Austria,2005,2B4,null
Austria,2005,2B5,null
Austria,2005,2B6,null
Austria,2005,2B7,null
Austria,2005,2B8F,null
Austria,2005,2C1,31.2272913418695
Austria,2005,2C2,null
Austria,2005,2C3,null
Austria,2005,2C4,null
Austria,2005,2C5,null
Austria,2005,2C6,null
Austria,2005,2H1,31.2272913418695
Austria,2006,1A1A1,25.4398942085605
Austria,2006,1A1A2,25.4398942085605
Austria,2006,1A1A3,25.4398942085605
Austria,2006,1A1B,25.4398942085605
Austria,2006,1A1C,25.4398942085605
Austria,2006,1A2A,25.4398942085605
Austria,2006,1A2B,25.4398942085605
Austria,2006,1A2C,25.4398942085605
Austria,2006,1A2D,25.4398942085605
Austria,2006,1A2E,25.4398942085605
Austria,2006,1A2F,25.4398942085605
Austria,2006,1A2G,25.4398942085605
Austria,2006,1A2H,25.4398942085605
Austria,2006,1A2I,25.4398942085605
Austria,2006,1A2J,25.4398942085605
Austria,2006,1A2K,25.4398942085605
Austria,2006,1A2L,25.4398942085605
Austria,2006,1A2M,25.4398942085605
Austria,2006,1A3A2,null
Austria,2006,1C1A,null
Austria,2006,1C2B,null
Austria,2006,2A1,25.4398942085605
Austria,2006,2A2,25.4398942085605
Austria,2006,2A3,25.4398942085605
Austria,2006,2A4A,25.4398942085605
Austria,2006,2B1,null
Austria,2006,2B2,null
Austria,2006,2B3,null
Austria,2006,2B4,null
Austria,2006,2B5,null
Austria,2006,2B6,null
Austria,2006,2B7,null
Austria,2006,2B8F,null
Austria,2006,2C1,25.4398942085605
Austria,2006,2C2,null
Austria,2006,2C3,null
Austria,2006,2C4,null
Austria,2006,2C5,null
Austria,2006,2C6,null
Austria,2006,2H1,25.4398942085605
Austria,2007,1A1A1,0.998144254268386
Austria,2007,1A1A2,0.998144254268386
Austria,2007,1A1A3,0.998144254268386
Austria,2007,1A1B,0.998144254268386
Austria,2007,1A1C,0.998144254268386
Austria,2007,1A2A,0.998144254268386
Austria,2007,1A2B,0.998144254268386
Austria,2007,1A2C,0.998144254268386
Austria,2007,1A2D,0.998144254268386
Austria,2007,1A2E,0.998144254268386
Austria,2007,1A2F,0.998144254268386
Austria,2007,1A2G,0.998144254268386
Austria,2007,1A2H,0.998144254268386
Austria,2007,1A2I,0.998144254268386
Austria,2007,1A2J,0.998144254268386
Austria,2007,1A2K,0.998144254268386
Austria,2007,1A2L,0.998144254268386
Austria,2007,1A2M,0.998144254268386
Austria,2007,1A3A2,null
Austria,2007,1C1A,null
Austria,2007,1C2B,null
Austria,2007,2A1,0.998144254268386
Austria,2007,2A2,0.998144254268386
Austria,2007,2A3,0.998144254268386
Austria,2007,2A4A,0.998144254268386
Austria,2007,2B1,null
Austria,2007,2B2,null
Austria,2007,2B3,null
Austria,2007,2B4,null
Austria,2007,2B5,null
Austria,2007,2B6,null
